Coding_scheme	Noise_level	Pool_failure	Correct_recover	Repeat
Canonical	0.05	1	64	0
Canonical	0.05	1	64	1
Canonical	0.05	1	64	2
Canonical	0.05	1	64	3
Canonical	0.05	1	64	4
Canonical	0.05	1	64	5
Canonical	0.05	1	64	6
Canonical	0.05	1	64	7
Canonical	0.05	1	64	8
Canonical	0.05	1	64	9
Canonical	0.05	1	64	10
Canonical	0.05	1	64	11
Canonical	0.05	1	64	12
Canonical	0.05	1	64	13
Canonical	0.05	1	64	14
Canonical	0.05	1	64	15
Canonical	0.05	1	64	16
Canonical	0.05	1	64	17
Canonical	0.05	1	64	18
Canonical	0.05	1	64	19
Canonical	0.05	1	64	20
Canonical	0.05	1	64	21
Canonical	0.05	1	64	22
Canonical	0.05	1	64	23
Canonical	0.05	1	64	24
Canonical	0.05	1	64	25
Canonical	0.05	1	64	26
Canonical	0.05	1	64	27
Canonical	0.05	1	64	28
Canonical	0.05	1	64	29
Canonical	0.05	1	64	30
Canonical	0.05	1	64	31
Canonical	0.05	1	64	32
Canonical	0.05	1	64	33
Canonical	0.05	1	64	34
Canonical	0.05	1	64	35
Canonical	0.05	1	64	36
Canonical	0.05	1	64	37
Canonical	0.05	1	64	38
Canonical	0.05	1	64	39
Canonical	0.05	1	64	40
Canonical	0.05	1	64	41
Canonical	0.05	1	64	42
Canonical	0.05	1	64	43
Canonical	0.05	1	64	44
Canonical	0.05	1	64	45
Canonical	0.05	1	64	46
Canonical	0.05	1	64	47
Canonical	0.05	1	64	48
Canonical	0.05	1	64	49
Canonical	0.05	1	64	50
Canonical	0.05	1	64	51
Canonical	0.05	1	64	52
Canonical	0.05	1	64	53
Canonical	0.05	1	64	54
Canonical	0.05	1	64	55
Canonical	0.05	1	64	56
Canonical	0.05	1	64	57
Canonical	0.05	1	64	58
Canonical	0.05	1	64	59
Canonical	0.05	1	64	60
Canonical	0.05	1	64	61
Canonical	0.05	1	64	62
Canonical	0.05	1	64	63
Canonical	0.05	1	64	64
Canonical	0.05	1	64	65
Canonical	0.05	1	64	66
Canonical	0.05	1	64	67
Canonical	0.05	1	64	68
Canonical	0.05	1	64	69
Canonical	0.05	1	64	70
Canonical	0.05	1	64	71
Canonical	0.05	1	64	72
Canonical	0.05	1	64	73
Canonical	0.05	1	64	74
Canonical	0.05	1	64	75
Canonical	0.05	1	64	76
Canonical	0.05	1	64	77
Canonical	0.05	1	64	78
Canonical	0.05	1	64	79
